S no.,Title,Price,Product Link
22,"POCO C61 - Locked with Airtel Prepaid (Ethereal Blue, 64 GB)","₹5,499",https://www.flipkart.com/poco-c61-locked-airtel-prepaid-ethereal-blue-64-gb/p/itme95c6626cb9fd?pid=MOBH2N3FHBWZPMWY&lid=LSTMOBH2N3FHBWZPMWYIOUAJZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH2N3FHBWZPMWY.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
23,"Apple iPhone 15 (Black, 128 GB)","₹58,499",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGTAGPTB3VS24W.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
24,"Apple iPhone 15 Plus (Black, 128 GB)","₹63,999",https://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGTAGPNRQA7CS3.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
25,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)","₹15,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGJCZZGT5&lid=LSTMOBH2Q4PGJCZZGT5FYFH80&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBH2Q4PGJCZZGT5.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
26,"vivo T3x 5G (Celestial Green, 128 GB)","₹14,499",https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNERKDV5ECF&lid=LSTMOBGZRNERKDV5ECFZ1LKDA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZRNERKDV5ECF.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
27,"vivo T3x 5G (Sapphire Blue, 128 GB)","₹14,499",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EACUN3RESHP&lid=LSTMOBH4EACUN3RESHPLITWXO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBH4EACUN3RESHP.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
28,"vivo T3x 5G (Sapphire Blue, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EACJGMTKTNZ&lid=LSTMOBH4EACJGMTKTNZ70XSHR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBH4EACJGMTKTNZ.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
29,"vivo T3x 5G (Sapphire Blue, 128 GB)","₹15,999",https://www.flipkart.com/vivo-t3x-5g-sapphire-blue-128-gb/p/itm263ed44f56cd5?pid=MOBH4EAC8GFJXHHP&lid=LSTMOBH4EAC8GFJXHHPMYAKQS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBH4EAC8GFJXHHP.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
30,"Motorola G85 5G (Olive Green, 128 GB)","₹17,999",https://www.flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm1c4b849213a0e?pid=MOBHY9PQMNCMDVCD&lid=LSTMOBHY9PQMNCMDVCDI6UUHQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBHY9PQMNCMDVCD.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
31,"Apple iPhone 15 Plus (Green, 128 GB)","₹63,999",https://www.flipkart.com/apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGTAGPJVGHTAYC.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
